과목,번호,구분,질문,정답,키워드(빈칸),오답보기
"운동생리학",45,"PART 5 · 신경·체형·측정","최대심박수(MHR)와 목표심박수(THR) 공식은?","최대심박수 = 220 - 나이 / 목표심박수(카보넨) = (최대심박수 - 안정시 심박수) × 운동강도 + 안정시 심박수","220 - 나이 / (MHR - 안정시 심박수) × 강도 + 안정시 심박수 / 카보넨 공식","180 - 나이 / MHR × 강도 / 쿠퍼 공식"
"운동생리학",46,"PART 5 · 신경·체형·측정","최대산소섭취량(VO2max)이란?","단위 시간당 최대로 섭취 가능한 산소의 양. 심폐지구력 대표 지표. 높을수록 유산소 능력 우수","단위 시간당 최대 산소 섭취량 / 심폐지구력 / 수치 높을수록","이산화탄소 배출량 / 근력 / 유연성"
"운동생리학",47,"PART 5 · 신경·체형·측정","호흡교환율(RER)이란?","CO₂ 배출량 / O₂ 섭취량. 에너지원 추정 지표. RER 1 이상이면 고강도 무산소 운동 상태","CO₂ 배출량 / O₂ 섭취량 / RER 1 이상","심박수 / 혈압 / 체온"
"운동생리학",48,"PART 5 · 신경·체형·측정","운동자각도(RPE)란?","개인이 느끼는 주관적 운동 강도 척도. 보그 6~20 척도. 수치 × 10 ≈ 목표 심박수","주관적 운동 강도 / 6~20 척도 / × 10 = 목표 심박수","객관적 측정 / 1~100 척도 / ÷ 10"
"운동생리학",49,"PART 5 · 신경·체형·측정","생체전기저항 분석법(인바디)이란?","팔·다리에 약한 전류를 흘려 체성분 측정. 지방=저항 큼, 근육·수분=저항 적음. 공복·운동 전에 측정","약한 전류 / 지방·근육·수분 측정 / 공복·운동 전","초음파 / X선 / MRI"
"운동생리학",50,"PART 5 · 신경·체형·측정","항상성이란?","외부 환경 변화에도 체온·혈당·혈압 등 내부 환경을 일정하게 유지하는 기능","외부 환경 변화 / 인체 내부 환경 일정 / 체온·혈당·혈압","외부 환경 변화에 반응 안 함 / 내부 환경 변동 / 산소 소비"
"운동생리학",51,"PART 5 · 신경·체형·측정","건강체력 구성 요소 5가지는?","근력 / 근지구력 / 심폐지구력 / 유연성 / 신체조성","근력 / 근지구력 / 심폐지구력","순발력 / 민첩성 / 평형성"
"운동생리학",52,"PART 5 · 신경·체형·측정","고원현상(슬럼프)이란?","지속적으로 향상되던 트레이닝 효과가 피로·권태·흥미 상실로 일시적으로 정체되는 현상","트레이닝 효과 정체 / 피로·권태·흥미 상실 / 일시적","영구적 정체 / 근력 상승 / 체중 증가"
"운동생리학",53,"PART 5 · 신경·체형·측정","정상 혈당 수치는?","공복 혈당 정상: 70~100mg/dL / 식후 2시간 혈당 정상: 90~140mg/dL","공복 70~100mg/dL / 식후 2시간 90~140mg/dL / 혈당","공복 140mg/dL / 식후 200mg/dL / 공복 50mg/dL"
"트레이닝방법론",1,"PART 1 · 트레이닝 원리","트레이닝의 5대 원리는?","과부하 원리 / 점진성 원리 / 특이성 원리 / 가역성 원리 / 개별성 원리","과부하 원리 / 점진성 원리 / 특이성 원리 / 가역성 원리 / 개별성 원리","반복성 원리 / 다양성 원리 / 균형성 원리"
"트레이닝방법론",2,"PART 1 · 트레이닝 원리","과부하 원리란?","신체가 평소보다 높은 자극을 받아야 적응이 일어나고 체력이 향상됨","평소보다 높은 자극 / 적응 / 향상","안전한 자극 / 낮은 강도 / 유지"
"트레이닝방법론",3,"PART 1 · 트레이닝 원리","점진성 원리란?","트레이닝의 강도와 훈련량을 서서히 증가시켜야 함","강도 / 훈련량 / 서서히 증가","갑자기 증가 / 유지 / 감소"
"트레이닝방법론",4,"PART 1 · 트레이닝 원리","특이성 원리란?","특정 훈련 방식으로 운동하면 그에 맞는 특정 체력 요소만 향상됨","훈련 방식 / 체력 요소 / 향상","모든 방식 / 전신 / 저하"
"트레이닝방법론",5,"PART 1 · 트레이닝 원리","가역성 원리란?","훈련 중단 시 적응된 체력이 다시 감소함","훈련 중단 / 체력 / 감소","훈련 지속 / 체력 / 증가"
"트레이닝방법론",6,"PART 1 · 트레이닝 원리","개별성 원리란?","사람마다 개인차가 있으므로 체력 수준에 맞춘 개인화된 프로그램이 필요함","개인차 / 체력 수준 / 프로그램","동일한 처방 / 집단 / 표준화"
"트레이닝방법론",7,"PART 2 · 트레이닝 변인","트레이닝 4대 변인(FITT)은?","빈도(Frequency) / 강도(Intensity) / 시간(Time) / 유형(Type)","빈도(Frequency) / 강도(Intensity) / 시간(Time) / 유형(Type)","목표(Goal) / 회복(Recovery) / 영양(Nutrition)"
"트레이닝방법론",8,"PART 2 · 트레이닝 변인","운동 강도를 나타내는 지표 3가지는?","1RM 비율 / 최대심박수(%HRmax) / RPE(자각도)","1RM 비율 / 최대심박수(%HRmax) / RPE(자각도)","체중 / VO2max / 운동 시간"
"트레이닝방법론",9,"PART 2 · 트레이닝 변인","1RM이란?","한 동작을 정확한 자세로 1회만 들 수 있는 최대 무게","1회 / 최대 무게","10회 / 최소 무게"
"트레이닝방법론",10,"PART 2 · 트레이닝 변인","세트(Set)와 반복(Rep)의 차이는?","반복(Rep) = 동작 1회 / 세트(Set) = 반복의 묶음","반복(Rep) / 세트(Set) / 묶음","1회 최대 / 무게 / 휴식"
"트레이닝방법론",11,"PART 2 · 트레이닝 변인","근비대 목적의 권장 반복 범위는?","6~12회 / 1RM의 67~85%","6~12회 / 1RM의 67~85%","1~5회 / 15회 이상 / 1RM의 50% 이하"
"트레이닝방법론",12,"PART 2 · 트레이닝 변인","근력 향상 목적의 권장 반복 범위는?","1~5회 / 1RM의 85% 이상","1~5회 / 1RM의 85% 이상","6~12회 / 15회 이상 / 1RM의 50% 이하"
"트레이닝방법론",13,"PART 2 · 트레이닝 변인","근지구력 향상 목적의 권장 반복 범위는?","15회 이상 / 1RM의 67% 이하","15회 이상 / 1RM의 67% 이하","1~5회 / 6~12회 / 1RM의 85% 이상"
"트레이닝방법론",14,"PART 2 · 트레이닝 변인","세트 간 휴식시간: 근력 vs 근비대 vs 근지구력은?","3~5분(근력) / 60~90초(근비대) / 30초 이하(근지구력)","3~5분(근력) / 60~90초(근비대) / 30초 이하(근지구력)","1분(근력) / 5분(근비대) / 2~3분(근지구력)"
"트레이닝방법론",15,"PART 3 · 저항 트레이닝","피라미드 세트법이란?","세트마다 무게 증가 → 반복수 감소 (예: 12→10→8→6회)","무게 증가 / 반복수 감소","무게 감소 / 반복수 증가"
"트레이닝방법론",16,"PART 3 · 저항 트레이닝","역피라미드(디센딩) 세트법이란?","세트마다 무게 감소 → 반복수 증가 (예: 6→8→10→12회)","무게 감소 / 반복수 증가","무게 증가 / 반복수 감소"
"트레이닝방법론",17,"PART 3 · 저항 트레이닝","슈퍼세트(Superset)란?","두 운동을 휴식 없이 연속으로 실시 (길항근 또는 주동근 조합)","두 운동 / 휴식 없이 / 연속","한 운동 / 긴 휴식 / 분리"
"트레이닝방법론",18,"PART 3 · 저항 트레이닝","드롭 세트(Drop Set)란?","한 세트 완료 직후 무게 즉시 감소 후 추가 반복 실시","한 세트 완료 / 무게 즉시 감소 / 추가 반복","세트 전 준비 / 무게 증가 / 휴식 후 재개"
"트레이닝방법론",19,"PART 3 · 저항 트레이닝","컴파운드 세트란?","같은 근육을 자극하는 두 가지 운동을 연속으로 실시","같은 근육 / 두 가지 운동 / 연속","다른 근육 / 한 가지 운동 / 휴식"
"트레이닝방법론",20,"PART 3 · 저항 트레이닝","트라이세트(Tri-set)란?","같은 근육을 자극하는 세 가지 운동을 연속으로 실시","같은 근육 / 세 가지 운동 / 연속","다른 근육 / 두 가지 운동 / 휴식"
"트레이닝방법론",21,"PART 3 · 저항 트레이닝","자이언트 세트(Giant Set)란?","같은 근육을 자극하는 4가지 이상 운동을 연속으로 실시","같은 근육 / 4가지 이상 / 연속","다른 근육 / 2가지 / 긴 휴식"
"트레이닝방법론",22,"PART 3 · 저항 트레이닝","치팅(Cheating)이란?","반동이나 보조 근육을 이용해 한계 이상의 자극을 주는 기법","반동 / 보조 근육 / 한계 이상","완벽한 자세 / 주동근만 / 제한된 범위"
"트레이닝방법론",23,"PART 3 · 저항 트레이닝","강제 반복(Forced Rep)이란?","보조자의 도움으로 한계 이후에도 추가 반복 실시","보조자 / 한계 이후 / 추가 반복","혼자 / 한계 전 / 감소"
"트레이닝방법론",24,"PART 3 · 저항 트레이닝","피크 컨트랙션(Peak Contraction)이란?","운동 동작의 최대 수축 지점에서 1~2초 유지하여 근육 자극 극대화","최대 수축 / 1~2초 유지 / 근육 자극","최소 수축 / 즉시 이완 / 관절 자극"
"트레이닝방법론",25,"PART 3 · 저항 트레이닝","번스(Burns)란?","세트 마지막에 가동 범위 절반의 짧은 동작을 반복해 펌핑 극대화","가동 범위 절반 / 짧은 동작 / 펌핑","전체 가동 범위 / 긴 동작 / 근력"
"트레이닝방법론",26,"PART 4 · 수준별 트레이닝","초보자 트레이닝의 4대 원리는?","점진적 과부하 / 전신 운동 / 복합 관절 운동 / 충분한 휴식","점진적 과부하 / 전신 운동 / 복합 관절 운동 / 충분한 휴식","분할 훈련 / 고강도 / 단관절 운동"
"트레이닝방법론",27,"PART 4 · 수준별 트레이닝","중급자 트레이닝의 5대 원리는?","슈퍼세트 / 피라미드 / 컴파운드 세트 / 분할 훈련 / 플러싱","슈퍼세트 / 피라미드 / 컴파운드 세트 / 분할 훈련 / 플러싱","치팅 / 번스 / 강제 반복"
"트레이닝방법론",28,"PART 4 · 수준별 트레이닝","상급자 트레이닝의 5대 원리는?","치팅 / 트라이 세트 / 자이언트 세트 / 피크 컨트랙션 / 퀄리티 원리","치팅 / 트라이 세트 / 자이언트 세트 / 피크 컨트랙션 / 퀄리티 원리","피라미드 / 슈퍼세트 / 점진적 과부하"
"트레이닝방법론",29,"PART 4 · 수준별 트레이닝","분할 훈련(Split Training)이란?","훈련할 신체 부위를 나누어 요일별로 다르게 운동하는 방법","신체 부위 / 나누어 / 요일별","전신 / 합쳐서 / 매일 같은"
"트레이닝방법론",30,"PART 4 · 수준별 트레이닝","플러싱(Flushing)이란?","한 근육을 여러 운동으로 집중 자극하여 혈류 증가시키는 기법","한 근육 / 집중 자극 / 혈류 증가","전신 운동 / 분산 자극 / 혈류 감소"
"트레이닝방법론",31,"PART 4 · 수준별 트레이닝","퀄리티 원리란?","세트 수 유지하면서 휴식 시간 단축하여 강도 유지 훈련의 질 향상","세트 수 유지 / 휴식 시간 단축 / 강도 유지","세트 수 감소 / 휴식 시간 증가 / 강도 저하"
"트레이닝방법론",32,"PART 5 · 유산소 트레이닝","최대심박수(HRmax) 공식은?","HRmax = 220 - 나이","220 / 나이","200 / 체중"
"트레이닝방법론",33,"PART 5 · 유산소 트레이닝","카보넨(Karvonen) 공식이란?","목표심박수 = (HRmax - 안정시 심박수) × 강도% + 안정시 심박수","목표심박수 / 안정시 심박수 / 여유심박수","최대심박수 / 최소심박수 / 운동 후 심박수"
"트레이닝방법론",34,"PART 5 · 유산소 트레이닝","HIIT(고강도 인터벌 트레이닝)의 특징은?","고강도 운동과 짧은 휴식을 교대로 반복하는 트레이닝","고강도 운동 / 짧은 휴식 / 반복","저강도 운동 / 긴 휴식 / 단발성"
"트레이닝방법론",35,"PART 5 · 유산소 트레이닝","LISS(저강도 지속 유산소)의 특징은?","낮은 강도로 긴 시간 동안 일정한 페이스를 유지하는 유산소 운동","낮은 강도 / 긴 시간 / 일정한 페이스","높은 강도 / 짧은 시간 / 변동적 페이스"
"트레이닝방법론",36,"PART 5 · 유산소 트레이닝","유산소 운동의 권장 강도 범위는?","최대심박수의 60~80% 수준의 중강도","최대심박수의 60~80% / 중강도","최대심박수의 90% 이상 / 최대심박수의 40% 이하"
"트레이닝방법론",37,"PART 5 · 유산소 트레이닝","지방 연소 최적 강도는?","최대심박수의 60~70% → 지방 산화율 최대","최대심박수의 60~70% / 지방 산화율 최대","최대심박수의 90% / 최대심박수의 40%"
"트레이닝방법론",38,"PART 5 · 유산소 트레이닝","인터벌 트레이닝의 구성 요소는?","운동 강도 / 운동 시간 / 휴식 시간의 조합으로 구성","운동 강도 / 운동 시간 / 휴식 시간","영양 섭취 / 수면 시간 / 보충제"
"트레이닝방법론",39,"PART 5 · 유산소 트레이닝","서킷 트레이닝(Circuit Training)이란?","여러 운동 스테이션을 순환하며 최소 휴식으로 실시하는 트레이닝","여러 운동 스테이션 / 순환 / 최소 휴식","한 운동 / 반복 / 긴 휴식"
"트레이닝방법론",40,"PART 6 · 포즈 지도","프런트 더블 바이셉스(Front Double Biceps) 포즈의 핵심은?","정면에서 두 팔 굽혀 올림 → 이두근 수축 극대화, 정면 방향 제시","두 팔 굽혀 올림 / 이두근 수축 / 정면","팔 펴기 / 삼두근 / 측면"
"트레이닝방법론",41,"PART 6 · 포즈 지도","프런트 랫 스프레드(Front Lat Spread)의 핵심은?","광배근 펼침 극대화, 허리 짧게 눌러 V자 강조, 정면 방향","광배근 펼침 / 허리 짧게 / 정면","광배근 오므림 / 허리 길게 / 측면"
"트레이닝방법론",42,"PART 6 · 포즈 지도","사이드 체스트(Side Chest) 포즈의 핵심은?","측면 방향, 대흉근 수축 극대화, 팔 굽힘으로 가슴 두께 강조","측면 / 대흉근 수축 / 팔 굽힘","정면 / 광배근 / 팔 펴기"
"트레이닝방법론",43,"PART 6 · 포즈 지도","백 더블 바이셉스(Back Double Biceps) 포즈의 핵심은?","후면에서 이두근과 광배근 동시 강조","후면 / 이두근 / 광배근 동시 강조","전면 / 삼두근 / 대흉근"
"트레이닝방법론",44,"PART 6 · 포즈 지도","백 랫 스프레드(Back Lat Spread)의 핵심은?","후면에서 광배근 최대 펼침으로 V라인 강조","후면 / 광배근 최대 펼침 / V라인","전면 / 광배근 오므림 / X라인"
"트레이닝방법론",45,"PART 6 · 포즈 지도","사이드 트라이셉스(Side Triceps) 포즈의 핵심은?","측면 방향에서 삼두근 수축을 위해 팔 펴기","측면 / 삼두근 수축 / 팔 펴기","정면 / 이두근 / 팔 굽히기"
"트레이닝방법론",46,"PART 6 · 포즈 지도","어브도미널 앤 사이 (Abdominal & Thigh) 포즈의 핵심은?","복근 수축과 대퇴근 수축을 동시에, 정면 방향","복근 수축 / 대퇴근 수축 / 정면","복근 이완 / 대퇴근 이완 / 측면"
"트레이닝방법론",47,"PART 6 · 포즈 지도","모스트 머스큘러(Most Muscular) 포즈의 핵심은?","전신 근육 수축으로 승모근 강조하며 전면 압박 자세","전신 근육 수축 / 승모근 강조 / 전면 압박","근육 이완 / 삼각근 강조 / 후면"
"트레이닝방법론",48,"PART 6 · 포즈 지도","포즈 지도 시 주의사항 3가지는?","호흡 조절 / 근육 수축 유지 / 표정 관리","호흡 조절 / 근육 수축 유지 / 표정 관리","빠른 전환 / 근육 이완 / 무표정"
"트레이닝방법론",49,"PART 6 · 포즈 지도","포징(Posing) 연습의 효과는?","근육 발달 촉진 / 신체 인식 향상 / 무대 적응력 증가","근육 발달 / 신체 인식 / 무대 적응","근육 감소 / 신체 무감각 / 무대 공포"
"트레이닝방법론",50,"PART 2 · 트레이닝 변인","웜업(Warm-up)의 목적은?","체온 상승 / 관절 가동성 증가 / 부상 예방","체온 상승 / 관절 가동성 증가 / 부상 예방","체온 감소 / 관절 가동성 감소 / 피로 유발"
"트레이닝방법론",51,"PART 2 · 트레이닝 변인","쿨다운(Cool-down)의 목적은?","심박수 감소 / 근육 피로 해소 / 유연성 유지","심박수 감소 / 근육 피로 해소 / 유연성 유지","심박수 증가 / 근육 피로 증가 / 유연성 감소"
"트레이닝방법론",52,"PART 2 · 트레이닝 변인","복합 운동(Compound Exercise)과 단관절 운동(Isolation)의 차이는?","복합 운동(다관절) = 여러 근육 동시 사용 / 단관절 운동(고립) = 특정 근육 집중","복합 운동(다관절) / 단관절 운동(고립)","단관절 운동(다관절) / 복합 운동(고립)"
"트레이닝방법론",53,"PART 2 · 트레이닝 변인","과훈련 증후군(Overtraining Syndrome)의 증상은?","수행 능력 저하 / 만성 피로 / 면역력 저하","수행 능력 저하 / 만성 피로 / 면역력 저하","수행 능력 향상 / 에너지 증가 / 면역력 향상"
"트레이닝방법론",54,"PART 1 · 트레이닝 원리","초과회복(Supercompensation)이란?","운동 후 회복 과정에서 운동 전보다 높은 수준으로 향상. 적절한 휴식이 필수","운동 후 회복 / 운동 전보다 높은 수준 / 적절한 휴식","운동 중 회복 / 운동 전보다 낮은 수준 / 휴식 없음"
"트레이닝방법론",55,"PART 1 · 트레이닝 원리","주기화(Periodization)란?","체계적 훈련 사이클로 강도와 양 변화를 통해 피크 성과를 이끌어내는 계획","훈련 사이클 / 강도와 양 변화 / 피크 성과","무작위 훈련 / 고정된 강도 / 평균 성과"
"트레이닝방법론",56,"PART 1 · 트레이닝 원리","선형 주기화 vs 비선형(파동) 주기화의 차이는?","선형(점진적 증가) = 매크로사이클에 걸쳐 강도 상승 / 비선형(주기적 변화) = 세션마다 강도 변동","선형(점진적 증가) / 비선형(주기적 변화)","선형(주기적 감소) / 비선형(고정)"
"트레이닝방법론",57,"PART 3 · 저항 트레이닝","네거티브 트레이닝(Negative Training)이란?","신장성 수축 단계에 집중, 무게 천천히 내리기로 DOMS 유발 및 근섬유 손상 극대화","신장성 수축 / 무게 천천히 내리기 / DOMS 유발","단축성 수축 / 무게 빠르게 올리기 / 근육 이완"
"트레이닝방법론",58,"PART 3 · 저항 트레이닝","프리-익조스천(Pre-exhaustion)이란?","복합 운동 전에 단관절 운동으로 선피로시켜 목표 근육 집중 자극","복합 운동 전 / 단관절 운동으로 선피로 / 목표 근육 집중","복합 운동 후 / 복합 운동으로 선피로 / 보조 근육 집중"
"트레이닝방법론",59,"PART 3 · 저항 트레이닝","레스트-폴즈(Rest-Pause)란?","한계 도달 후 짧은 휴식(10~20초) 뒤 추가 반복 실시","한계 도달 / 짧은 휴식(10~20초) / 추가 반복","한계 미달 / 긴 휴식(3~5분) / 세트 종료"
"트레이닝방법론",60,"PART 5 · 유산소 트레이닝","VO2max란?","최대 산소 섭취량. 단위 mL/kg/min. 높을수록 유산소 능력 우수","최대 산소 섭취량 / 유산소 능력 / mL/kg/min","최소 산소 섭취량 / 무산소 능력 / L/min 고정"
"트레이닝방법론",61,"PART 5 · 유산소 트레이닝","유산소 운동의 심폐 적응 효과는?","심박출량 증가 / 안정 시 심박수 감소 / 모세혈관 밀도 증가","심박출량 증가 / 안정 시 심박수 감소 / 모세혈관 밀도 증가","심박출량 감소 / 안정 시 심박수 증가 / 모세혈관 밀도 감소"
"트레이닝방법론",62,"PART 5 · 유산소 트레이닝","운동 후 산소 부채(EPOC)란?","운동 후에도 기초대사 이상 산소 소비 지속 → 칼로리 추가 소모","운동 후 / 기초대사 이상 산소 소비 / 칼로리 추가 소모","운동 중 / 기초대사 이하 산소 소비 / 칼로리 소모 없음"
"트레이닝방법론",63,"PART 4 · 수준별 트레이닝","벌크업(Bulk-up) 시즌과 컷팅(Cutting) 시즌의 목표 차이는?","벌크업(근육량 증가) = 칼로리 과잉 + 고강도 저항 / 컷팅(체지방 감소) = 칼로리 결핍 + 유산소 추가","벌크업(근육량 증가) / 컷팅(체지방 감소)","벌크업(체지방 증가) / 컷팅(근육량 감소)"
"트레이닝방법론",64,"PART 4 · 수준별 트레이닝","클린 벌크(Clean Bulk)란?","건강한 음식으로 적절한 칼로리 과잉을 유지하면서 체지방 최소화하는 방식","건강한 음식 / 적절한 칼로리 과잉 / 체지방 최소화","정크푸드 / 과도한 칼로리 과잉 / 체지방 무시"
"운동영양학",1,"PART 1 · 영양소 기초","3대, 5대, 6대 영양소를 설명하시오.","3대: 탄수화물·단백질·지방 / 5대: +비타민·무기질 / 6대: +물","탄수화물·단백질·지방 / 비타민·무기질 / 물","탄수화물·지방·비타민 / 단백질·무기질·수분 / 탄수화물·단백질·비타민"
"운동영양학",2,"PART 1 · 영양소 기초","탄수화물·단백질 1g당 ___kcal, 지방 1g당 ___kcal이다.","탄수화물·단백질 4kcal / 지방 9kcal","4kcal / 9kcal","탄수화물·단백질 9kcal / 지방 4kcal / 탄수화물·단백질 7kcal / 지방 9kcal / 탄수화물·단백질 4kcal / 지방 7kcal"
"운동영양학",3,"PART 1 · 영양소 기초","탄수화물이 저장되는 3곳과 형태를 말하시오.","근육(글리코겐) / 간(글리코겐) / 혈액(글루코스)","근육(글리코겐) / 간(글리코겐) / 혈액(글루코스)","근육(글루코스) / 간(글리코겐) / 혈액(지방산) / 근육(글리코겐) / 신장(글리코겐) / 혈액(글루코스) / 간(글루코스) / 근육(글리코겐) / 혈액(지방산)"
"운동영양학",4,"PART 1 · 영양소 기초","단순 탄수화물과 복합 탄수화물의 예시를 말하시오.","단순: 설탕·밀가루 / 복합: 고구마·쌀·곡류","설탕·밀가루 / 고구마·쌀·곡류","현미·통밀 / 설탕·과당 / 과당·포도당 / 고구마·밀가루 / 설탕·꿀 / 쌀·감자·밀가루"
"운동영양학",5,"PART 1 · 영양소 기초","완전 단백질과 불완전 단백질을 설명하시오.","완전 단백질: 모든 필수 아미노산 포함(소고기·달걀) / 불완전 단백질: 하나 이상 부족(두부·견과류)","완전 단백질 / 불완전 단백질","동물성 단백질 / 식물성 단백질 / 필수 단백질 / 비필수 단백질 / 합성 단백질 / 천연 단백질"
"운동영양학",6,"PART 1 · 영양소 기초","포화지방과 불포화지방을 설명하시오.","포화지방: 동물성·상온 고체·LDL 상승 / 불포화지방: 식물성·상온 액체·콜레스테롤 저하","포화지방 / 불포화지방","중성지방 / 인지질 / LDL / HDL / 동물성지방 / 필수지방"
"운동영양학",7,"PART 1 · 영양소 기초","필수지방산이란 무엇이며 대표적인 종류는?","필수지방산: 체내 합성 불가, 음식으로 섭취 / 대표: 오메가-3·오메가-6","필수지방산 / 오메가-3·오메가-6","포화지방산 / 오메가-3·오메가-9 / 불포화지방산 / 오메가-6·오메가-9 / 필수지방산 / 오메가-1·오메가-3"
"운동영양학",8,"PART 1 · 영양소 기초","""피부·근육 사이에 축적, 체온 유지·충격 완화""는 ___, ""장기 주변 축적, 과다 시 대사증후군 유발""은 ___이다.","피하지방 / 내장지방","피하지방 / 내장지방","내장지방 / 피하지방 / 중성지방 / 내장지방 / 체지방 / 중성지방"
"운동영양학",9,"PART 1 · 영양소 기초","""신체에 저장된 지방""은 ___, ""체지방을 제외한 근육·뼈·수분 등""은 ___이다.","체지방 / 제지방","체지방 / 제지방","내장지방 / 피하지방 / 피하지방 / 제지방 / 체지방 / 근육량"
"운동영양학",10,"PART 1 · 영양소 기초","""고밀도, 콜레스테롤을 간으로 운반, 동맥경화 예방""은 ___, ""저밀도, 혈관 내벽 축적, 심혈관 질환 유발""은 ___이다.","HDL / LDL","HDL / LDL","LDL / HDL / HDL / VLDL / VLDL / LDL"
"운동영양학",11,"PART 1 · 영양소 기초","에너지원으로서 탄수화물, 지방, 단백질의 단점을 각각 설명하시오.","탄수화물: 저장량 부족(고갈 시 피로) / 지방: 에너지 전환 느림(고강도 운동 부적합) / 단백질: 근손실(에너지원 사용 시)","저장량 부족 / 에너지 전환 느림 / 근손실","소화 어려움 / 저장량 부족 / 에너지 전환 느림 / 저장량 부족 / 근손실 / 에너지 전환 느림 / 흡수 느림 / 산소 불필요 / 근손실"
"운동영양학",12,"PART 2 · 수분","인체에서 수분의 역할 4가지를 말하시오.","체온 조절 / 영양소 운반 / 노폐물 배출 / 세포막 구조 유지","체온 조절 / 영양소 운반 / 노폐물 배출 / 세포막 구조 유지","에너지 생성 / 호르몬 합성 / 소화 촉진"
"운동영양학",13,"PART 2 · 수분","탈수의 원인과 증상을 설명하시오.","원인: 과도한 발한·수분 섭취 부족·전해질 손실 / 증상: 갈증·어지러움·근육 경련·운동 수행 능력 저하","과도한 발한·수분 섭취 부족·전해질 손실 / 갈증·어지러움·근육 경련·운동 수행 능력 저하","과호흡·고혈압 / 발열·구토 / 수분 과다·전해질 손실 / 부종·두통 / 과도한 발한·수분 섭취 부족 / 고혈압·빈맥"
"운동영양학",14,"PART 2 · 수분","고온에서 운동 시 수분 섭취 방법을 설명하시오.","땀으로 전해질도 손실되므로 이온 음료·나트륨 포함 수분 섭취가 효과적","전해질 / 이온 음료·나트륨","순수 물만 섭취 / 운동 후 한꺼번에 / 카페인 음료 / 운동 중 금지 / 탄산음료 / 소량 자주"
"운동영양학",15,"PART 3 · 비타민 및 무기질","수용성 비타민과 지용성 비타민을 설명하시오.","수용성: B군·C(과잉 시 소변 배출) / 지용성: A·D·E·K(체내 축적, 과다 시 부작용)","B군·C / A·D·E·K","B군·D / A·C·E·K / C·D / A·B·E·K / B군·C / A·D·E·B12"
"운동영양학",16,"PART 3 · 비타민 및 무기질","비타민 C의 역할과 결핍 시 발생하는 질환을 설명하시오.","역할: 콜라겐 합성·항산화·면역력 강화 / 결핍: 괴혈병(잇몸 출혈·상처 회복 지연)","콜라겐 합성·항산화·면역력 강화 / 괴혈병","케라틴 합성·항산화 / 구루병 / 엘라스틴 합성·면역력 / 야맹증 / 콜라겐 합성·에너지 대사 / 빈혈"
"운동영양학",17,"PART 3 · 비타민 및 무기질","에어로빅 운동 중 산소를 절약하는 비타민은 무엇인가?","비타민 E","비타민 E","비타민 C / 비타민 D / 비타민 B12"
"운동영양학",18,"PART 3 · 비타민 및 무기질","엽산에 대해 설명하시오.","비타민 B군의 일종 / 역할: DNA·RNA 합성·세포 분열 / 특히 임산부에게 필요","비타민 B군 / DNA·RNA 합성·세포 분열 / 임산부","비타민 C군 / 단백질 합성 / 노인 / 비타민 B군 / 지방 대사 / 운동선수 / 비타민 A군 / DNA 합성 / 임산부"
"운동영양학",19,"PART 4 · 아미노산 및 보충제","필수 아미노산 9가지를 모두 말하시오.","류신 / 이소류신 / 발린 / 페닐알라닌 / 메티오닌 / 트레오닌 / 히스티딘 / 라이신 / 트립토판","류신 / 이소류신 / 발린 / 페닐알라닌 / 메티오닌 / 트레오닌 / 히스티딘 / 라이신 / 트립토판","글루타민 / 아르기닌 / 글리신"
"운동영양학",20,"PART 4 · 아미노산 및 보충제","BCAA에 대해 설명하시오.","분지사슬 아미노산 / 구성: 류신·이소류신·발린 / 효과: 근육 회복·근손실 예방·피로 감소","분지사슬 아미노산 / 류신·이소류신·발린 / 근육 회복·근손실 예방·피로 감소","필수 아미노산 전체 / 류신·메티오닌·발린 / 지방 연소 / 분지사슬 아미노산 / 류신·이소류신·트립토판 / 면역력 강화 / 비필수 아미노산 / 류신·이소류신·발린 / 근육 회복"
"운동영양학",21,"PART 4 · 아미노산 및 보충제","유청 단백질에 대해 설명하시오.","우유의 치즈 가공 과정에서 추출 / 완전 단백질 / 목적: 운동 후 빠른 근육 회복","치즈 가공 과정 / 완전 단백질 / 운동 후 빠른 근육 회복","두부 가공 과정 / 불완전 단백질 / 운동 전 섭취 / 치즈 가공 과정 / 불완전 단백질 / 운동 후 회복 / 요거트 가공 과정 / 완전 단백질 / 운동 후 회복"
"운동영양학",22,"PART 4 · 아미노산 및 보충제","크레아틴에 대해 설명하시오.","골격근 95% 저장 / 고강도 운동 시 ATP 재합성 / 효과: 순간 근력·운동 수행 능력 향상","골격근 95% 저장 / ATP 재합성 / 순간 근력·운동 수행 능력 향상","간 80% 저장 / ADP 재합성 / 지구력 향상 / 골격근 95% 저장 / ADP 재합성 / 근육 회복 / 골격근 70% 저장 / ATP 재합성 / 지방 연소"
"운동영양학",23,"PART 4 · 아미노산 및 보충제","카페인의 효과와 권장량을 설명하시오.","효과: 각성·집중력·지방 연소·운동 수행 능력 향상 / 권장량: 성인 400mg·임산부 200mg·청소년 2.5mg/kg 이하","각성·집중력·지방 연소·운동 수행 능력 향상 / 성인 400mg·임산부 200mg·청소년 2.5mg/kg","각성·근육 이완·지방 연소 / 성인 200mg·임산부 400mg / 집중력·혈압 상승·지방 연소 / 성인 400mg·임산부 300mg / 각성·집중력·수면 유도 / 성인 300mg·임산부 200mg"
